Id,Regiao,Prima,CustoProduto,Pmaquinabase,Pmaquina1,Pmaquina2,Pmaquina3,Cmaquina1,Cmaquina2,Cmaquina3,Resposta
3536,559,1514,46531,1155.94,1758.28,1939.52,2112.82,1259.2255562201,1155.94,1047.92226076555,0
3537,554,2113,31419,684.65,1050.93,1061.42,1157.52,746.63758738294,684.65,677.883612990145,0
3538,553,1765,26951,767.62,1332.75,1406.09,1514.88,827.011205257132,767.62,727.581843978693,0
3539,556,1749,55842,1091.65,1669.88,1739.34,1846.42,1158.855883841,1091.65,1048.05529798659,0
3540,554,3572,62102,925.71,1803.21,2277.6,2501.88,1016.866585353,925.71,732.898458508957,0
3541,560,1740,33447,868.97,1422.92,1457.96,1528.72,911.144214107383,868.97,848.085538972263,0
3542,558,3981,102194,2039,3434.03,4152.97,4434.75,2177.34663385481,2039,1686.01920312451,0
3543,558,2296,21220,1442.5,2030.02,2307.27,2570.47,1607.05204635782,1442.5,1269.16392533167,0
3544,555,1529,19816,771.96,1372.48,1422.74,1619.49,878.713960667445,771.96,744.689585447798,0
3545,553,3257,60645,1308.4,2731.49,3161.31,3412.53,1412.37469656566,1308.4,1130.50650394931,0
3546,558,2057,21332,569.42,1209.81,1539.85,1746.11,645.692733837711,569.42,447.374750917297,0
3547,559,2551,29632,1782.78,2119.51,2667.17,2935.62,1962.21636551101,1782.78,1416.71510919814,0
3548,557,1933,31767,603.89,1146.17,1007.91,1105.41,662.307194987648,603.89,686.728578246074,0
3549,553,4788,24434,1907.45,2401.31,3226.54,3521.84,2082.02399722303,1907.45,1419.59459963304,0
3550,554,3382,94854,1901.92,3192.33,4047.66,4267.09,2005.02606760449,1901.92,1500.01637331199,0
3551,554,1688,21205,713.68,1069.91,1164.39,1316.63,806.991212909764,713.68,655.771149528938,0
3552,559,2555,37006,526.65,1100.41,931.79,998.82,564.535520879168,526.65,621.954438768392,0
3553,556,7145,64589,701.98,1516.97,1503.27,1599.69,747.005119639187,701.98,708.377470846887,0
3554,557,1789,22287,852.15,1441.94,1698.19,1954.39,980.710897190538,852.15,723.564012860752,0
3555,556,2591,93559,1240.03,1779.99,2120.58,2399.12,1402.90900300861,1240.03,1040.86664954871,0
3556,558,5513,141813,2943.62,5100.46,5376.94,5830.73,3192.04853366413,2943.62,2792.26029399621,0
3557,554,4343,39779,971.16,3266.45,3776.66,3958.8,1017.9969094385,971.16,839.960595340857,0
3558,555,2901,70545,1609.57,2748.08,3205.38,3391.59,1703.07467953878,1609.57,1379.93845522216,0
3559,559,1852,40439,852.28,1330.77,1496.43,1627.26,926.793203023195,852.28,757.929642950221,0
3560,557,3240,71177,1882.03,3063.58,3669.62,3915.77,2008.27241324715,1882.03,1571.21158795734,0
3561,556,3149,47639,3310.4,4009.72,5310.5,5533.48,3449.39877450334,3310.4,2499.53433537332,0
3562,554,1833,31827,636.27,1179.71,1188.57,1279.47,684.930948029986,636.27,631.527029707968,0
3563,553,1703,37873,1359.17,2233.57,2658.14,2855.93,1460.30471611729,1359.17,1142.07729348341,0
3564,554,3226,33222,1137.14,2598.84,3175.55,3481.58,1246.72698625435,1137.14,930.624590259955,0
3565,556,1463,30804,1170.2,1810.22,2244.58,2425.45,1264.49562501671,1170.2,943.748694187777,0
3566,559,2536,28398,586.67,613.82,937.89,923.91,577.925214790647,586.67,383.957371760014,0
3567,557,1833,33056,1001.02,1721.02,1963.13,2111.75,1076.80285309684,1001.02,877.565642825488,0
3568,552,1716,21266,690.1,1338.74,1262.38,1387.36,758.422294396299,690.1,731.843402145154,0
3569,556,4059,26740,928.47,1316.07,1629.78,1754.87,999.73257059235,928.47,749.75242848728,0
3570,558,5129,39852,2102.1,3325.15,4354.27,4591.07,2216.41934170366,2102.1,1605.27432037976,0
3571,559,2551,29883,1086.39,1792.7,1911.46,2090.33,1188.0518602011,1086.39,1018.89202651376,0
3572,554,2318,56837,2337.57,2613.49,3406.05,3614.86,2480.87617333862,2337.57,1793.63656414322,0
3573,553,5514,94981,2562.51,3610.35,4855.79,5059.08,2669.79072216879,2562.51,1905.26319682276,0
3574,555,1382,12508,1730.19,2687.07,2830.44,2991.32,1828.53264891678,1730.19,1642.55085545004,0
3575,557,3555,87922,1432.44,2660.96,3565.6,3804.36,1528.35916490913,1432.44,1069.01097778775,0
3576,553,1702,34679,1290.08,4186.4,4987.3,5244.71,1356.66502452229,1290.08,1082.90877067752,0
3577,552,1749,38232,592.55,986.8,898.36,935.82,617.258271739614,592.55,650.884211229351,0
3578,558,1623,14024,844.09,1322.98,1594.9,1594.9,844.09,844.09,700.178185591573,0
3579,556,2913,31014,1858.18,3216,4433.77,4742.17,1987.42953527134,1858.18,1347.81616547543,0
3580,553,5219,48977,964.41,1896.71,2480.58,2734.81,1063.250575309,964.41,737.41064230946,0
3581,556,3145,90594,1118.35,3051.64,3210.9,3398.61,1183.72901476222,1118.35,1062.88006291071,0
3582,554,2089,12112,569.24,1170.94,1070.64,1226.01,651.847429948442,569.24,622.567703056116,0
3583,556,2328,47755,1312.95,2109.61,2410.63,2554.34,1391.2216735874,1312.95,1148.99941073495,0
3584,556,1688,43993,1843.77,3079.38,3297.9,3589.21,2006.6338341672,1843.77,1721.60115910125,0
3585,559,1869,21092,696.02,1174.43,1290.95,1392.12,750.566143072931,696.02,633.197853208877,0
3586,555,1623,15159,827.6,1266.94,1366.73,1533.97,928.869324592275,827.6,767.173870479173,0
3587,554,1688,41577,835.05,1617.7,1801.69,1993.92,924.145050480382,835.05,749.774037154005,0
3588,556,1728,30123,1145.47,1913.57,2104.68,2400.85,1306.66022839577,1145.47,1041.45857227702,0
3589,555,1743,31265,626.72,1092.37,1075.53,1176.43,685.515243275408,626.72,636.532803733973,0
3590,553,1654,27238,920.47,2119.62,2103.39,2264.72,991.070043311036,920.47,927.572452754839,0
3591,556,2717,28814,761.68,1656.46,1792.91,1895.71,805.352411889052,761.68,703.712095308744,0
